Round,FedAvg,FedProx,SCAFFOLD,FedNova,FedCrit-HEA,Centralised
1,0.7483537158984007,0.7474129821260583,0.7483537158984007,0.6317027281279398,0.647695202257761,0.7958607714016933
2,0.8090310442144873,0.8090310442144873,0.812793979303857,0.6970837253057385,0.7300094073377235,0.8405456255879586
3,0.8325493885230479,0.8325493885230479,0.8367826904985889,0.7361241768579492,0.5136406396989652,0.8570084666039511
4,0.8485418626528692,0.848071495766698,0.8499529633113829,0.7478833490122295,0.7855126999059266,0.8720602069614299
5,0.8588899341486359,0.8588899341486359,0.861241768579492,0.770931326434619,0.7215428033866416,0.8819379115710254
6,0.8617121354656632,0.8617121354656632,0.863593603010348,0.7850423330197555,0.7939793038570084,0.8838193791157103
7,0.8664158043273753,0.8664158043273753,0.8668861712135466,0.7986829727187206,0.7450611476952023,0.8866415804327376
8,0.8715898400752587,0.8706491063029163,0.8734713076199435,0.8109125117591721,0.4905926622765757,0.8922859830667921
9,0.8758231420507996,0.8753527751646284,0.8753527751646284,0.8222013170272813,0.7629350893697083,0.8932267168391346
10,0.8772342427093133,0.8767638758231421,0.8781749764816557,0.8278457196613358,0.7347130761994356,0.8951081843838193
11,0.878645343367827,0.8777046095954845,0.878645343367827,0.8358419567262465,0.7492944496707432,0.8969896519285042
12,0.8819379115710254,0.8819379115710254,0.8809971777986829,0.8428974600188147,0.7770460959548448,0.8969896519285042
13,0.8838193791157103,0.8828786453433678,0.883349012229539,0.8461900282220132,0.8005644402634055,0.8974600188146754
14,0.8857008466603951,0.8847601128880527,0.8842897460018815,0.8513640639698965,0.8316086547507056,0.900752587017874
15,0.8866415804327376,0.8866415804327376,0.8861712135465664,0.8508936970837253,0.7897460018814676,0.90310442144873
16,0.8861712135465664,0.8857008466603951,0.8857008466603951,0.852304797742239,0.6011288805268109,0.8979303857008467
17,0.8889934148635936,0.8885230479774224,0.8894637817497648,0.8560677328316086,0.8123236124176858,0.90310442144873
18,0.8908748824082785,0.8904045155221072,0.8904045155221072,0.8574788334901223,0.8174976481655691,0.9035747883349012
19,0.8913452492944497,0.8908748824082785,0.8894637817497648,0.8579492003762935,0.8250235183443085,0.9059266227657573
20,0.8913452492944497,0.8908748824082785,0.8904045155221072,0.8598306679209784,0.7793979303857008,0.9059266227657573
21,0.8922859830667921,0.8918156161806209,0.8908748824082785,0.8607714016933208,0.7869238005644402,0.9049858889934148
22,0.8936970837253058,0.8936970837253058,0.8927563499529633,0.863593603010348,0.7836312323612418,0.9040451552210724
23,0.8932267168391346,0.8932267168391346,0.8927563499529633,0.8654750705550329,0.8033866415804327,0.9068673565380997
24,0.8946378174976481,0.8946378174976481,0.8927563499529633,0.8650047036688617,0.6867356538099718,0.9106302916274694
25,0.894167450611477,0.894167450611477,0.8936970837253058,0.8659454374412041,0.735653809971778,0.9115710253998118
26,0.8955785512699906,0.8955785512699906,0.8955785512699906,0.8673565380997178,0.7060206961429916,0.9115710253998118
27,0.8974600188146754,0.8974600188146754,0.8974600188146754,0.867826904985889,0.6693320790216368,0.912041392285983
28,0.8951081843838193,0.8960489181561618,0.8960489181561618,0.867826904985889,0.7168391345249294,0.9143932267168391
29,0.8988711194731891,0.8984007525870179,0.8979303857008467,0.8706491063029163,0.715898400752587,0.912041392285983
30,0.8979303857008467,0.8979303857008467,0.8984007525870179,0.8734713076199435,0.812793979303857,0.9158043273753528
31,0.8988711194731891,0.8979303857008467,0.8984007525870179,0.8734713076199435,0.8066792097836313,0.9167450611476952
32,0.8998118532455315,0.8998118532455315,0.8988711194731891,0.8748824082784572,0.823612417685795,0.9129821260583255
33,0.8988711194731891,0.8988711194731891,0.8998118532455315,0.874412041392286,0.7507055503292568,0.9153339604891816
34,0.8984007525870179,0.8984007525870179,0.900752587017874,0.8753527751646284,0.7916274694261524,0.916274694261524
35,0.900752587017874,0.9002822201317028,0.9035747883349012,0.8748824082784572,0.8189087488240828,0.9195672624647225
36,0.9016933207902164,0.900752587017874,0.9035747883349012,0.8748824082784572,0.7939793038570084,0.9205079962370649
37,0.90310442144873,0.9016933207902164,0.9045155221072436,0.8762935089369709,0.819379115710254,0.9214487300094073
38,0.9049858889934148,0.9045155221072436,0.9054562558795861,0.8767638758231421,0.8015051740357478,0.9214487300094073
39,0.9054562558795861,0.9054562558795861,0.9054562558795861,0.8767638758231421,0.8443085606773283,0.9256820319849483
40,0.9040451552210724,0.9040451552210724,0.9049858889934148,0.8772342427093133,0.8033866415804327,0.9261523988711194
41,0.9073377234242709,0.9063969896519285,0.9082784571966134,0.8781749764816557,0.8240827845719662,0.9242709313264346
42,0.9073377234242709,0.9073377234242709,0.9078080903104422,0.8791157102539982,0.8109125117591721,0.9261523988711194
43,0.9087488240827846,0.9087488240827846,0.9092191909689558,0.8800564440263405,0.8344308560677328,0.9266227657572906
44,0.9087488240827846,0.9087488240827846,0.9092191909689558,0.8814675446848542,0.7996237064910631,0.9266227657572906
45,0.9101599247412983,0.909689557855127,0.909689557855127,0.8828786453433678,0.8377234242709313,0.9266227657572906
46,0.9101599247412983,0.909689557855127,0.9106302916274694,0.8828786453433678,0.8363123236124177,0.9270931326434619
47,0.9106302916274694,0.9106302916274694,0.9106302916274694,0.8828786453433678,0.8066792097836313,0.9270931326434619
48,0.9111006585136406,0.9111006585136406,0.9125117591721543,0.8814675446848542,0.8151458137347131,0.9289746001881467
49,0.9115710253998118,0.9111006585136406,0.9134524929444967,0.8824082784571966,0.8132643461900282,0.929444967074318
50,0.9101599247412983,0.9106302916274694,0.9125117591721543,0.8847601128880527,0.808560677328316,0.9299153339604892
51,0.9115710253998118,0.9111006585136406,0.9139228598306679,0.8838193791157103,0.8320790216368767,0.9289746001881467
52,0.9115710253998118,0.9111006585136406,0.9139228598306679,0.8861712135465664,0.7944496707431796,0.9299153339604892
53,0.9125117591721543,0.9115710253998118,0.9143932267168391,0.8857008466603951,0.8508936970837253,0.9299153339604892
54,0.9148635936030104,0.9148635936030104,0.9158043273753528,0.8857008466603951,0.8165569143932268,0.9313264346190028
55,0.9134524929444967,0.9134524929444967,0.9172154280338665,0.8885230479774224,0.8381937911571026,0.9317968015051741
56,0.9134524929444967,0.9134524929444967,0.9167450611476952,0.8871119473189087,0.8283160865475071,0.9327375352775165
57,0.9153339604891816,0.9148635936030104,0.9176857949200377,0.8875823142050799,0.8151458137347131,0.9327375352775165
58,0.916274694261524,0.9158043273753528,0.9172154280338665,0.8875823142050799,0.8565380997177798,0.9327375352775165
59,0.9158043273753528,0.9158043273753528,0.9167450611476952,0.8880526810912511,0.8428974600188147,0.929444967074318
60,0.9153339604891816,0.9153339604891816,0.91862652869238,0.8889934148635936,0.8654750705550329,0.9360301034807149
61,0.9167450611476952,0.9153339604891816,0.9181561618062088,0.8894637817497648,0.7916274694261524,0.9327375352775165
62,0.9172154280338665,0.916274694261524,0.91862652869238,0.8894637817497648,0.8203198494825964,0.9332079021636877
63,0.9158043273753528,0.9158043273753528,0.9190968955785512,0.8904045155221072,0.8494825964252116,0.9365004703668862
64,0.916274694261524,0.916274694261524,0.9181561618062088,0.8908748824082785,0.8640639698965192,0.9322671683913453
65,0.9172154280338665,0.9172154280338665,0.9190968955785512,0.8913452492944497,0.8330197554092192,0.938381937911571
66,0.9195672624647225,0.9195672624647225,0.9200376293508937,0.8927563499529633,0.8292568203198495,0.9317968015051741
67,0.91862652869238,0.91862652869238,0.9205079962370649,0.8908748824082785,0.8565380997177798,0.9327375352775165
68,0.9181561618062088,0.91862652869238,0.9200376293508937,0.8908748824082785,0.8179680150517403,0.9360301034807149
69,0.91862652869238,0.91862652869238,0.9205079962370649,0.8908748824082785,0.79068673565381,0.9374412041392286
70,0.9190968955785512,0.9190968955785512,0.9214487300094073,0.8918156161806209,0.8476011288805269,0.9397930385700847
71,0.9195672624647225,0.9190968955785512,0.9205079962370649,0.8922859830667921,0.8687676387582314,0.9374412041392286
72,0.9205079962370649,0.9205079962370649,0.9219190968955786,0.8927563499529633,0.8518344308560677,0.9360301034807149
73,0.9205079962370649,0.9205079962370649,0.9209783631232361,0.8922859830667921,0.8593603010348071,0.9388523047977423
74,0.9195672624647225,0.9195672624647225,0.9219190968955786,0.8922859830667921,0.8697083725305739,0.9416745061147695
75,0.9205079962370649,0.9205079962370649,0.9223894637817498,0.8927563499529633,0.861241768579492,0.9388523047977423
76,0.9214487300094073,0.9209783631232361,0.9223894637817498,0.8936970837253058,0.8551269990592663,0.9393226716839135
77,0.9214487300094073,0.9209783631232361,0.9238005644402634,0.8927563499529633,0.8537158984007526,0.9416745061147695
78,0.9219190968955786,0.9219190968955786,0.9233301975540922,0.8936970837253058,0.8447789275634995,0.9397930385700847
79,0.9219190968955786,0.9219190968955786,0.9233301975540922,0.894167450611477,0.8588899341486359,0.9421448730009407
80,0.9219190968955786,0.9219190968955786,0.9238005644402634,0.8932267168391346,0.8668861712135466,0.9388523047977423
